model,MAE,RMSE,MAPE,sMAPE,CV_RMSE,NRMSE,MBE,R2
seasonal_naive,28.129490610651573,148.20921723699132,37842185.46992157,16.47257712409934,56.91572056812908,2.5902189537775024,0.01790583308439484,0.9554114152534918
transformer,44.917843362357324,161.89851922641046,34882214.4282992,26.177514458941825,62.17272483093852,2.8294637871152197,-3.554611601018222,0.946794195544863
attn_lstm,41.64301180784179,172.68828458224,38501317.71416195,24.290701882713904,66.31624087829809,3.0180340747970713,19.77624283582501,0.9394660502867729
tft,55.45231285189745,217.26494548785672,43557561.18550491,26.405238122383896,83.43469560913577,3.797090290910888,7.855648158140541,0.904180790714578
persistence,56.93482592264429,229.11663785575462,28074878.86196436,27.10501501022235,87.9860158552449,4.004219636696322,35.12298798841981,0.8934418882190082
gru,73.51010675615586,294.2559160078635,36216642.56603608,30.811622377332547,113.00098471097225,5.1426440616440665,48.664088241394964,0.8242385337305189
lstm,71.45812973891168,317.09453260730686,35915039.47618504,36.3257017100555,121.77153451057079,5.541789396170337,26.75703694205474,0.7958963512468706
cnn_lstm,104.16062188511559,421.95807952921285,35031283.21678809,37.59961549027492,162.04152881764858,7.374465877843734,41.68942436699653,0.6385802552074503
tcn,120.20452515121096,529.7477036128937,68198135.36215708,35.771095963467864,203.4352035084778,9.258280747978661,76.76064806317441,0.4303456391463677
