model,type,CV_RMSE,MAE
Persistence,Education,33.307474018686214,47.57409253392773
Persistence,Entertainment/public assembly,43.51923936870104,75.02766013145447
Persistence,Healthcare,47.83017112767309,7.431133965976903
Persistence,Lodging/residential,29.18298429296652,19.8500547204947
Persistence,Manufacturing/industrial,18.90221982244827,2.5030452651404294
Persistence,Office,39.312507031917875,29.961277344848927
Persistence,Other,5.216476846422949,0.6322568062224675
Persistence,Public services,38.98338580513105,24.479860823988265
Persistence,Retail,92.69813941770687,35.81840159072251
Persistence,Services,8.059152081523703,14.902914057663882
Seasonal-naive,Education,14.43211365596326,21.100051160664595
Seasonal-naive,Entertainment/public assembly,43.51923936870104,75.02766013145447
Seasonal-naive,Healthcare,38.577348691010364,5.588210407502013
Seasonal-naive,Lodging/residential,14.122703869546488,8.241928178538824
Seasonal-naive,Manufacturing/industrial,8.498970030555435,1.0590108105393707
Seasonal-naive,Office,26.257161122066325,14.848131543688114
Seasonal-naive,Other,6.86910655544742,0.8133512546455925
Seasonal-naive,Public services,24.32910687159021,10.784485825423985
Seasonal-naive,Retail,61.43707326351401,20.596323520107997
Seasonal-naive,Services,9.829952302653957,21.202142110939235
Ridge,Education,12.483546661164477,19.70654506579544
Ridge,Entertainment/public assembly,46.98491041657735,92.63981054649979
Ridge,Healthcare,23.081000763336455,3.8203388113793126
Ridge,Lodging/residential,15.347923526532533,10.440241291657605
Ridge,Manufacturing/industrial,10.30395060082793,1.4334602538353758
Ridge,Office,19.418141438345152,12.516732279504284
Ridge,Other,8.270231472397157,1.594624116772511
Ridge,Public services,16.868725056159697,9.715051215203083
Ridge,Retail,51.36605668108108,21.708844920976567
Ridge,Services,14.255145476311629,42.35667654985939
LightGBM,Education,9.29140180342872,13.552334789647146
LightGBM,Entertainment/public assembly,35.54648794202152,59.506302957326334
LightGBM,Healthcare,19.852962462219608,3.0967616722232005
LightGBM,Lodging/residential,11.387138031861856,6.989576709726469
LightGBM,Manufacturing/industrial,9.612227538595478,1.2780224651586813
LightGBM,Office,16.964148700797878,9.312777914209164
LightGBM,Other,5.461092969713031,0.6862148665339569
LightGBM,Public services,12.859735759836308,6.743118999434299
LightGBM,Retail,41.518094148799314,14.299102599503565
LightGBM,Services,10.69859171239562,31.210862633960495
LSTM,Education,17.197440360193074,21.60468052562033
LSTM,Entertainment/public assembly,36.80219885619094,60.72440674200735
LSTM,Healthcare,19.22579113362704,3.0315703902739646
LSTM,Lodging/residential,11.305116600594427,7.014541309387957
LSTM,Manufacturing/industrial,10.570105103116905,1.5290573659490367
LSTM,Office,18.007401968134136,10.758301396122883
LSTM,Other,5.738978184346754,0.9050643535259643
LSTM,Public services,13.580832064165374,7.780701560400874
LSTM,Retail,49.00275303086934,15.780923171121566
LSTM,Services,10.152399086192549,26.10164376555896
GRU,Education,12.836208235461891,17.819701026664692
GRU,Entertainment/public assembly,35.80883060534469,57.10998125610456
GRU,Healthcare,18.61269138475071,2.9788389147305097
GRU,Lodging/residential,10.848762584495637,6.758090460018165
GRU,Manufacturing/industrial,10.587177579369058,1.507984056498835
GRU,Office,17.917889921636142,10.168607787097736
GRU,Other,5.400110391606735,0.7185473858984441
GRU,Public services,12.717762817585282,7.272101679460598
GRU,Retail,47.67569239350851,15.14214165484319
GRU,Services,7.9968201819435745,16.71733204784289
TCN,Education,13.088471894486439,19.06108860587806
TCN,Entertainment/public assembly,35.774675862346676,61.3238627369938
TCN,Healthcare,21.688378102277102,3.2702611378633257
TCN,Lodging/residential,13.291928522285323,8.48615520899413
TCN,Manufacturing/industrial,10.79124828437462,1.471361206528919
TCN,Office,18.509672584308635,11.409583804610367
TCN,Other,5.661654151645356,0.8393811423921845
TCN,Public services,14.169987317012083,8.220163463894787
TCN,Retail,46.264924754749174,15.493529898221375
TCN,Services,9.199969863820964,25.463228382048058
CNN-LSTM,Education,12.42503837773671,17.60392205707366
CNN-LSTM,Entertainment/public assembly,37.40173687512674,63.17228131737214
CNN-LSTM,Healthcare,20.892383266395207,3.3025385675534524
CNN-LSTM,Lodging/residential,11.941293928436131,7.631567875978508
CNN-LSTM,Manufacturing/industrial,9.736726963940349,1.3353271569059195
CNN-LSTM,Office,17.197265393122503,9.914820127421699
CNN-LSTM,Other,6.370355249523165,0.9212179366356689
CNN-LSTM,Public services,13.352641367531747,7.4901189279686555
CNN-LSTM,Retail,44.85326621039039,14.662534143103928
CNN-LSTM,Services,8.138661443294598,18.358805765871143
Transformer,Education,10.25897590852373,14.016955223757677
Transformer,Entertainment/public assembly,35.1808141299869,59.12933771694944
Transformer,Healthcare,20.171742817342874,3.1428817256552275
Transformer,Lodging/residential,10.955633576371053,6.49840048058654
Transformer,Manufacturing/industrial,8.798347928912841,1.1216659956291073
Transformer,Office,16.50270469260509,8.532029957360542
Transformer,Other,5.229404541250538,0.6110215903631325
Transformer,Public services,11.392122561193316,6.003058749144195
Transformer,Retail,45.23704629563712,14.379977343512364
Transformer,Services,8.1459086329376,17.36336584039073
Attn-LSTM,Education,10.316496384904328,14.630727165200737
Attn-LSTM,Entertainment/public assembly,36.08719743267627,58.30659898643285
Attn-LSTM,Healthcare,18.471823564814624,2.881242914277999
Attn-LSTM,Lodging/residential,10.433861638261023,6.2691769304605565
Attn-LSTM,Manufacturing/industrial,8.470172659495184,1.1386488754241193
Attn-LSTM,Office,17.48362168560314,9.406018106083149
Attn-LSTM,Other,5.508276588967,0.7248050840825982
Attn-LSTM,Public services,10.938002883858104,5.604851812938524
Attn-LSTM,Retail,45.846296492827356,14.864105937259446
Attn-LSTM,Services,9.071660013696745,19.4564785670713
TFT,Education,12.060212669760002,16.096897031316598
TFT,Entertainment/public assembly,36.141485475058175,57.09645961672882
TFT,Healthcare,20.217980509247248,3.0773361478346946
TFT,Lodging/residential,11.094121018341227,6.913829945475677
TFT,Manufacturing/industrial,8.002659283303183,1.0727674466013257
TFT,Office,17.61272658600403,9.550355551394631
TFT,Other,5.468326204056545,0.7067580314281859
TFT,Public services,12.979158996832076,7.1082765365558895
TFT,Retail,46.79894875127966,14.50038461737294
TFT,Services,10.409196881166231,28.50060134637551
