vs_best(LightGBM),wilcoxon_p,DM_stat,DM_p
Persistence,4.5289814870521e-158,-17.041,0.0
Seasonal-naive,1.7665185228625692e-55,-8.877,0.0
Ridge,6.717829782478217e-145,-12.181,0.0
LSTM,1.4496354106379987e-26,-7.248,4.2366110619695974e-13
GRU,2.2973923901739518e-07,-3.74,0.00018383039601577167
TCN,5.39148728056447e-55,-8.608,0.0
CNN-LSTM,7.4505581334777e-18,-4.693,2.6875926262270866e-06
Transformer,4.109372016044696e-08,2.786,0.005335397799455022
Attn-LSTM,0.042759024036589266,0.752,0.45187101039849886
TFT,0.0008327252787140464,-3.387,0.000705806785368468
